Chapter;Kana;Kanji;Furigana;Romaji;Trad;Sample kanji;Sample kana;Sample trad;Type;Subgroup;Group;JLPT;Sound kana;Sound sample;Tags
1;なんさい;何歳;何[なん] 歳[さい];nansai;quel âge ?;;;;歳;;Other;5;[sound:hypertts-5e065051795213af64922019aaa472d357a8bca243d658ad67985e5f.mp3];;Chapitre_01 Classificateurs N5
1;せんせい;先生;先生[せんせい];sensei;professeur, enseignant;"私[わたし]は 日本語[にほんご]の &lt;b&gt;先生[せんせい]&lt;/b&gt;になりたいです";わたしは にほんごの せんせいになりたいです;Je veux devenir un professeur de japonais.;(Nom) 普通名詞[ふつうめいし];Type de postes;Commun;5;[sound:hypertts-89fd1f4ddef18d845e67e4d3facf2de227d34e9b9f78f7395750ec2c.mp3];[sound:hypertts-8bef307b2c44a33a8d091a3d7f8cf9ee1ce47c5a3aa99b28c67fd270.mp3];Chapitre_01 N5 Noms
1;はじめまして;初めまして;初[はじ]めまして;hajimemashite;Enchanté (de vous connaître). (utilisé en début de présentation de soi);;;;(Expression) 表現[ひょうげん];;Expression;5;[sound:hypertts-5b9d1e6ea165a8cc87c7a8c14748f889adfc639f7995c687c363cdaf.mp3];;Chapitre_01 Expressions N5
1;いしゃ;医者;医者[いしゃ];isha;docteur, médecin;"私[わたし]は &lt;b&gt;医者[いしゃ]&lt;/b&gt;に 相談[そうだん]した";わたしは いしゃに そうだんした;"J&#x27;ai consulté le médecin.";(Nom) 普通名詞[ふつうめいし];Type de postes;Commun;5;[sound:hypertts-b6db178ee2d0ccc91be811d24d0d7415e46fcad6b09df417830e25f2.mp3];[sound:hypertts-8bcd6850e3732fd29f53980b57c3b32b7c96677935514ee5e4b88d21.mp3];Chapitre_01 N5 Noms
1;いいえ, いえ;否;否[いえ];īe, ie;non;いいえ、 必要[ひつよう]がありません;いいえ、 ひつようがありません;"Non, je n&#x27;en ai pas besoin.";(Nom) 普通名詞[ふつうめいし];Idées Abstraites;Commun;5;[sound:hypertts-4068c8d310991ae27984c9bad516c653a1cc4bc352c92f7dec355ea1.mp3];[sound:hypertts-2b8dffb3b5c78c1721f523d47f55b3f88eb908086f84fa87ca95efd2.mp3];Chapitre_01 N5 Noms
1;だいがく;大学;大学[だいがく];daigaku;université;"&lt;b&gt;大学[だいがく]&lt;/b&gt;に 行[い]ってもっと 勉強[べんきょう]したいです";だいがくに いってもっと べんきょうしたいです;"Je veux aller à l&#x27;université et étudier plus.";(Nom) 普通名詞[ふつうめいし];Bâtiments, pièces, lieu;Commun;5;[sound:hypertts-1daf90767ff288e488a605b200976bcba353f23b7ee48abf49e2a342.mp3];[sound:hypertts-e94f0fb3c4579bc0669e45c5034a2b959a83cad3ed706db44fe15fe4.mp3];Chapitre_01 N5 Noms
1;しつれいですが;失礼ですが;失礼[しつれい]ですが;shitsureidesuga;Excusez-moi. (pour demander une info perso);;;;(Expression) 表現[ひょうげん];;Expression;5;[sound:hypertts-2729f25988647e8f6834648075c39233f9877fe5871ac71ff0487662.mp3];;Chapitre_01 Expressions N5
1;がくせい;学生;学生[がくせい];gakusei;étudiant;"彼[かれ]は 真面目[まじめ]な &lt;b&gt;学生[がくせい]&lt;/b&gt;です";かれは まじめな がくせいです;"C&#x27;est un étudiant sérieux.";(Nom) 普通名詞[ふつうめいし];Type de postes;Commun;5;[sound:hypertts-8b3c09016977419e96041fecfdc555cdca1733b5c11e2bdacbab6d7f.mp3];[sound:hypertts-5351639272226558cef746906400069387e47a521d2010d710d464bc.mp3];Chapitre_01 N5 Noms
1;きょうし;教師;教師[きょうし];kyōshi;professeur, instituteur (soi même);"彼[かれ]は 高校[こうこう] &lt;b&gt;教師[きょうし]&lt;/b&gt;だ";かれは こうこう きょうしだ;"C&#x27;est un professeur de lycée.";(Nom) 普通名詞[ふつうめいし];Type de postes;Commun;3;[sound:hypertts-32037ae2912c531d478f8f1a0315436f2256fb54b69bc037d7b95920.mp3];[sound:hypertts-1ca92d1b0101ed128f154ce571902fcca0097fc315e671dd6252eeda.mp3];Chapitre_01 N3 Noms
1;にほん;日本;日本[にほん];nihon;le Japon;日本[にほん]は 中国[ちゅうごく]の 東方[とうほう]にある;にほんは ちゅうごくの とうほうにある;"Le Japon se trouve à l&#x27;est de la Chine.";(Nom) 普通名詞[ふつうめいし];Pays, ville, langues;Commun;3;[sound:hypertts-01cbd45f1598740a1ea215617a3e47df4ecfe4e667eaced778564474.mp3];[sound:hypertts-a11a957699596d1e71324a0617c17ae4acf22c9ca150b6a9d8defb6d.mp3];Chapitre_01 N3 Noms
1;びょういん;病院;病院[びょういん];byōin;hôpital;"&lt;b&gt;病院[びょういん]&lt;/b&gt;はどこですか";びょういんはどこですか;"Où est l&#x27;hôpital ?";(Nom) 普通名詞[ふつうめいし];Bâtiments, pièces, lieu;Commun;5;[sound:hypertts-57ef7183eeddc3c231c9d3d64dd9540913360874e1c06eee539976ad.mp3];[sound:hypertts-8ad248254dd7d324d01afb8c1815f7bd33870b3dd4f03e6afe8047da.mp3];Chapitre_01 N5 Noms
1;けんきゅうしゃ;研究者;研究[けんきゅう] 者[しゃ];kenkyūsha;chercheur;;;;(Nom) 普通名詞[ふつうめいし];Type de postes;Commun;X;[sound:hypertts-dddfe853913ffe62fa2bbc96a326d8d399b0f839bf2fc57b09067ef5.mp3];;Chapitre_01 Noms NX
1;わたし;私;私[わたし];watashi;je, mon, moi (neutre);"&lt;b&gt;私[わたし]&lt;/b&gt;が 行[い]きましょう";わたしが いきましょう;"J&#x27;y vais.";(Pronom) 代名詞[だいめいし];Personne;Commun;5;[sound:hypertts-b8c246a096e52bd24c551d7ee697c4faead9aab7bfa346856acbcbf8.mp3];[sound:hypertts-995dea3314f9158aca1a05e4e002d26064a509206f4bb2882e94e3ba.mp3];Chapitre_01 N5 Noms
1;だれ;誰;誰[だれ];dare;"qui ?, quelqu&#x27;un";"&lt;b&gt;誰[だれ]&lt;/b&gt;と 会[あ]ってみたいですか";だれと あってみたいですか;Qui aimeriez-vous rencontrer?;(Pronom) 代名詞[だいめいし];Idées Abstraites;Commun;5;[sound:hypertts-47cf7019ab9fbf072bb5d6466dde6d72bd1169abc824e238c002913b.mp3];[sound:hypertts-c001fec02032b441a0169e5cba215b85c43067ff59438ec7f588450c.mp3];Chapitre_01 N5 Noms
1;あなた;貴方;貴方[あなた];anata;tu, toi, ton (neutre);;;;(Pronom) 代名詞[だいめいし];Personne;Commun;5;[sound:hypertts-5c0a7a1b951a8437e845e15d7b8e10d08810b4f60528c9fc275abe12.mp3];;Chapitre_01 N5 Noms
1;ぎんこういん;銀行員;銀行[ぎんこう] 員[いん];ginkōin;employé de banque;;;;(Nom) 普通名詞[ふつうめいし];Type de postes;Other;5;[sound:hypertts-02fbaf45649701974cb45227e725c70ad515e915f62fd42e235d4fec.mp3];;Chapitre_01 N5 Noms
